Question,Answer
Can I apply for leave directly from the "Leave Calendar"?,"No, the ""Leave Calendar"" is primarily for viewing. To apply for leave, please navigate to the ""Apply Leave"" page."
What do the different colors in the calendar represent?,"The colors represent different leave statuses as defined in the ""Legends"". For example, green might represent ""Approved"" while red might indicate ""Rejected""."
Can I view past leaves in the "Leave Calendar"?,"Yes, simply navigate to the desired period using the ""Select Period Name"" feature."
How are weekends displayed in the "Leave Calendar"?,Weekends are    highlighted or marked differently to distinguish them from weekdays. Refer to the "Legends" for specifics.
How do I view leave details of a specific date?,"Click on the date in the ""Leave Calendar"". If any leave details are available for that date, they will be displayed."
Can I edit leaves from the "Leave Calendar"?,"No, the ""Leave Calendar"" is for viewing purposes only. To edit leaves, navigate to the ""Manage Leaves"" page."
How can I see the total number of leaves taken in a month?,"The ""Leave Calendar"" may have a summary section that provides such details. If not, refer to the ""Leave Summary"" page."
What is the difference between "Pending" and "Approved" in legends?,"Pending means the leave request is awaiting approval, while ""Approved"" means the leave request has been accepted."
How often is the "Leave Calendar" updated?,The "Leave Calendar" is updated in real-time as leave statuses change.
Can I export the "Leave Calendar"?,"If there's an export option available, you can use it to export the calendar. If not, please contact HRMantra administrator."
How do I filter the "Leave Calendar" by department?,Use the "Employees" feature to select specific departments or groups to filter the calendar view.
Can I see public holidays in the "Leave Calendar"?,"Yes, public holidays are    marked or highlighted in the calendar. Refer to the ""Legends"" for specifics."
How do I switch to a weekly view in the "Leave Calendar"?,Use the "Select Period Name" dropdown and choose the weekly option.
Can I view leave balances in the "Leave Calendar"?,"The ""Leave Calendar"" primarily displays leave dates. For leave balances, refer to the ""Leave Summary"" or a similar page."
Why can't I see some employees in the "Leave Calendar"?,"Ensure you have the necessary permissions to view all employees. If you do, the employees might not have any leave records for the selected period."
Can I customize the "Legends" in the "Leave Calendar"?,Customizing "Legends"    requires administrative access. Contact your system administrator for more details.
How do I refresh the "Leave Calendar"?,"There might be a refresh button or option. If not, simply navigating away and returning to the page should refresh the view."
Can I print the "Leave Calendar"?,"If there's a print option available, you can use it. Otherwise, use your browser's print functionality."
Why are some dates grayed out in the "Leave Calendar"?,Grayed-out dates might represent past dates or non-working days. Refer to the "Legends" for specifics.
Can I view leave reasons in the "Leave Calendar"?,"By default, you'll see leave types. For detailed reasons, click on the specific leave date or refer to the ""Leave Details"" page."
How do I view leaves for the next year?,Use the "Select Period Name" dropdown and navigate to the desired year.
Can I add notes or comments in the "Leave Calendar"?,"The ""Leave Calendar"" is for viewing. To add notes or comments, navigate to the specific leave application or management page."
Why is the "Select Purpose" option grayed out?,The "Select Purpose" might be grayed out if you don't have the required permissions or if it's not applicable for the selected view.
How can I view the entire year in the "Leave Calendar"?,Use the "Select Period Name" dropdown and choose the yearly option.
How do I zoom in on the "Leave Calendar"?,"If a zoom feature is available, use it. Otherwise, use your browser's zoom functionality."
Can I see half-day leaves in the "Leave Calendar"?,"Yes, half-day leaves are    represented differently. Refer to the ""Legends"" for specifics."
How do I report an error in the "Leave Calendar"?,Use the "Help" or "Feedback" option in the HCM software or contact your system administrator.
Can I view leaves of contractors or temporary staff?,Yes
Why is the "Leave Calendar" loading slowly?,"Ensure you have a stable internet connection. If the issue persists, contact your system administrator."
Can I see overtime details in the "Leave Calendar"?,"The ""Leave Calendar"" is primarily for leaves. For overtime details, navigate to the ""Overtime"" or a similar page."
How do I hide certain leave types from the "Leave Calendar"?,This requires administrative access. Contact your system administrator for customization options.
Can I view the "Leave Calendar" on mobile?,"If your HCM software has a mobile-responsive design or a mobile app, you can view it on mobile devices."
Why can't I see my own leaves in the "Leave Calendar"?,"Ensure you've selected the right period and filters. If the issue persists, contact HR or HRMantra administrator."
How can I get a legend description?,Hover over the legend or click on it. A tooltip or description might appear.
Can I change the start day of the week in the "Leave Calendar"?,This requires administrative access. Contact your system administrator for customization options.
Why are some leaves marked with an exclamation mark?,This might indicate exceptions or issues with the leave. Refer to the "Legends" or click on the leave for details.
How do I change the view to a list instead of a calendar?,"If a list view option is available, you can use it. Otherwise, check with HRMantra administrator for alternative views."
Can I see who approved a particular leave in the "Leave Calendar"?,"By default, the approver's details might not be displayed. Click on the specific leave or navigate to the ""Leave Details"" page for such information."
How do I know if a leave has been modified?,Modified leaves might be marked differently. Refer to the "Legends" or click on the leave for a detailed history.
Can I see rejected leaves in the "Leave Calendar"?,"Yes, rejected leaves should be displayed and can be identified using the ""Legends""."
How do I search for a specific employee's leaves?,Use the "Employees" feature and search for the employee's name or ID to filter their leaves.
Why can't I see future leaves in the "Leave Calendar"?,"Ensure you've selected the right period. If you're still facing issues, it might be a restriction set by HRMantra administrator."
Can I customize the "Leave Calendar" view for my department?,Customizing views    requires administrative access. Contact your system administrator for more details.
What is the purpose of the "Leave Credit" page?,"The ""Leave Credit"" page allows users to credit leave days to employees, providing a detailed workflow for approval."
How do I use the "Leave Name" feature?,Leave Name refers to the type of leave being credited. Select the appropriate name from the dropdown before proceeding.
What does "Leave Credit" indicate?,Leave Credit indicates the number of days being credited to an employee's leave balance.
How do I submit the leave credit details?,"After filling in the necessary details, click on the ""Submit"" button to initiate the leave credit process."
Can I add any notes or comments while crediting leave?,"Yes, use the ""Remark"" field to add any notes or comments relevant to the leave credit."
What is the purpose of "Escalation Remarks"?,Escalation Remarks are used to provide additional information or reasons when escalating a leave credit request.
How is "Credited Days" different from "Leave Credit"?,"Credited Days displays the total number of days credited to an employee, while ""Leave Credit"" is the current entry."
What does "Application date" signify?,Application date indicates the date on which the leave credit was applied or requested.
Who should I select in the "Send To" option?,"In the ""Send To"" option, select the appropriate personnel or department responsible for approving or processing the request."
Can I edit the "Leave Name" after submitting?,"No, once submitted, the ""Leave Name"" cannot be edited. Any changes require a new entry."
How do I know if my leave credit request was successful?,"After submission, you'll receive a confirmation notification. Additionally, you can check the status on the dashboard."
Can I credit leave for multiple employees at once?,"HRMantra is designed for individual entries. For bulk credits, please refer to the bulk leave credit feature."
What should I do if I made an error in the "Leave Credit"?,"If an error is made, please cancel the current request and create a new leave credit entry with the correct details."
How can I view previous leave credit entries?,Navigate to the leave credit history or logs section to view past entries and their statuses.
Can I add multiple remarks for a single leave credit entry?,"HRMantra allows one ""Remark"" per entry. For additional notes, use the ""Escalation Remarks"" section."
What happens if I forget to click "Submit" after entering details?,The leave credit details won't be saved or processed until "Submit" is clicked. Always ensure to submit after entry.
Can I cancel a leave credit request after submission?,"Yes, but this depends on the workflow set up in your HCM software. Refer to the cancellation procedure in the user guide."
How secure is the data entered in the "Leave Credit" page?,The HCM software employs robust security measures to ensure that all data is securely stored and accessed.
Can I delegate leave credit responsibilities to another team member?,"Yes, depending on your role and permissions. Please refer to the role management section for more details."
How will the employee know about the credited leave?,"Once leave is credited, a notification or email is sent to the concerned employee with the credited details."
What is the maximum limit for "Leave Credit"?,The maximum limit varies based on the leave policy. Please refer to your organization's leave policy for specifics.
Can I see a history of all my "Escalation Remarks"?,"Yes, all escalation remarks are logged and can be viewed in the leave credit history or logs section."
Are there any mandatory fields on the "Leave Credit" page?,"Yes, fields like ""Leave Name"", ""Leave Credit"", and ""Application date"" are    mandatory."
What happens if I don't fill in the "Remark" field?,"The ""Remark"" field is optional, but it's recommended to provide additional information if relevant."
How does the "Send To" feature work?,Send To directs the leave credit request to the selected personnel or department for further processing or approval.
Can I track the status of my leave credit request?,"Yes, the status can be viewed in the leave credit dashboard or history section."
Is there a deadline for crediting leaves?,This depends on your organization's leave policy. Please refer to the policy for any deadlines or restrictions.
Can I credit half-days using the "Leave Credit" feature?,"Yes, if HRMantra supports fractional leave credits, you can credit half-days or other fractions."
What should I do if I face an error on the "Leave Credit" page?,Report the error to your IT or system administrator for resolution.
Is there a limit to how many times I can use the "Leave Credit" feature in a day?,"There's    no daily limit, but excessive entries might be flagged for review."
How do I know who approved my leave credit request?,The approval details are logged and can be viewed in the leave credit history or logs section.
Can I print the details from the "Leave Credit" page?,"Depending on the HCM software features, there may be a print or export option available."
What should I include in the "Escalation Remarks"?,Include any additional information or reasons that justify the need for escalation or urgent processing.
Can I credit leave for a future date?,"Yes, you can specify a future ""Application date"" while crediting leave."
How do I rectify a rejected leave credit request?,"Review the rejection reason, make necessary corrections, and resubmit the leave credit request."
Can multiple users access the "Leave Credit" page simultaneously?,"Yes, the HCM software is designed to support multiple users accessing various modules concurrently."
How is the "Application date" different from the actual credited date?,Application date is when the request was made. The actual credited date is when the leave gets added to the employee's balance.
Can I attach documents in the "Leave Credit" page?,"This depends on the HCM software features. If supported, there might be an option to attach relevant documents."
Is there an audit trail for all actions on the "Leave Credit" page?,"Yes, HRMantra software maintains an audit trail for transparency and tracking purposes."
How do I know the balance leave after crediting?,The updated leave balance is    displayed in the employee's leave dashboard or profile.
Can I set auto-approval for certain leave credit requests?,This depends on the HCM software configuration. Yesallow auto-approval based on certain criteria.
Can I set reminders for leave credit deadlines?,"If the software supports it, you can set reminders or alerts for specific actions or deadlines."
What happens if the person in the "Send To" option is unavailable?,HRMantra has a backup approver or an escalation mechanism in place for such scenarios.
Are there any notifications for pending leave credit approvals?,"Yes, approvers    receive notifications or reminders for pending actions."
Can I schedule a recurring leave credit for an employee?,This depends on the software's features. Yesmight support scheduled or recurring leave credits.
Are there any reports I can generate from the "Leave Credit" page?,"Depending on the HCM software, you can generate various reports related to leave credit history, approvals, and more."
Can I export the data from the "Leave Credit" page?,"If the software supports it, there might be an option to export the data in formats like CSV, Excel, etc."
Is there a mobile version of the "Leave Credit" page?,"Most modern HCM software offer mobile-responsive designs or apps, allowing access to features like ""Leave Credit"" on mobile devices."
Who should I contact for further assistance with the "Leave Credit" page?,"For further assistance, contact your HR department or the HCM software's customer support."
What is the purpose of the "Leave Reasons Master" page?,The "Leave Reasons Master" page allows administrators to define and manage the various reasons employees might take leave.
How do I create a new leave reason?,"Navigate to the ""Leave Reasons Master"" page and use the ""Add"" button. Fill in the required fields like ""Reason Name"", ""Preference Order"", etc., and save."
What is "Leave Name"?,"Leave Name represents the type or category of leave, e.g., ""Sick Leave"", ""Vacation"", etc."
How is "Preference Order" used?,Preference Order determines the sequence in which leave reasons appear in the list. A lower number means it will appear higher up.
What does "Is It Active?" signify?,"Is It Active? indicates if a particular leave reason is currently active and can be used by employees. If not active, employees won't see or be able to use it."
What is meant by "Is it by default?",Is it by default? signifies if the leave reason is one of the default options provided by HRMantra or if it was added by an admin.
Can I change the "Preference Order" after creating a leave reason?,"Yes, you can edit the ""Preference Order"" to change the sequence of how leave reasons appear."
How can I deactivate a leave reason?,"To deactivate a leave reason, navigate to the respective reason and toggle off the ""Is It Active?"" switch."
Can I delete a leave reason?,"While you can deactivate a leave reason, it's recommended not to delete it to maintain historical data. However, check your HRMantra's specific features."
What is "Reason Name"?,Reason Name is the specific reason or cause for which an employee might take a leave. It gives clarity on why leave was taken.
Can I have two leave reasons with the same "Preference Order"?,"Each leave reason should have a unique ""Preference Order"". If there's a tie, HRMantra might order them based on creation date or another factor."
How many leave reasons can I create?,This depends on the limitations of your HRMantra. Check with your software provider for exact numbers.
Why can't I see a leave reason I created?,Ensure that the leave reason is marked as "Active" and check its "Preference Order" to see where it's positioned in the list.
Can employees see deactivated leave reasons?,"No, deactivated leave reasons will not be visible to employees when they're applying for leave."
How do I edit a leave reason?,"Navigate to the ""Leave Reasons Master"" page, find the leave reason you want to edit, and click the ""Edit"" option."
How do I ensure a leave reason is set to "Active"?,You can ensure this by toggling on the "Is It Active?" switch for that specific leave reason.
How often should I review and update leave reasons?,Reviewing and updating leave reasons annually or whenever there's a significant policy change is a good practice.
Are changes to leave reasons logged?,Yes
What happens if I set a leave reason to "Not Active"?,"If set to ""Not Active"", that specific leave reason won't be available for employees to use when applying for leave."
Can I reorder leave reasons without changing the "Preference Order" one by one?,HRMantra systems allow bulk editing or drag-and-drop functionality. Please refer to HRMantra documentation.
What should I consider when naming a leave reason?,"Ensure the name is clear, concise, and accurately reflects the reason for leave, making it easy for both admins and employees to understand."
Is there a character limit for the "Reason Name"?,The character limit might vary based on your HRMantra. Check HRMantra specifications.
Can I group similar leave reasons together?,"Grouping might not be directly supported, but you can use the ""Preference Order"" to sequence them in a logical order."
Can employees suggest new leave reasons?,"While HRMantra might not have a direct feature for this, employees can communicate their suggestions to HR or admin for consideration."
Are there any default leave reasons that cannot be deleted?,"Leave reasons marked as ""By Default"" might be system-generated and may not be deletable. However, always refer to your HRMantra's guidelines."
Can I see a history of all leaves taken with a specific reason?,"HRMantra provides reports or filters that allow you to view leave data based on specific criteria, including leave reasons."
Can I customize the fields in the "Leave Reasons Master" page?,"Customizability depends on your HRMantra. Some platforms might allow adding custom fields or modifying existing ones, while others might not."
Do I need any special permissions to modify leave reasons?,Only administrators or users with specific roles can modify leave reasons. Ensure you have the necessary permissions.
How do I search for a specific leave reason?,HRMantra offers a search or filter functionality on the "Leave Reasons Master" page. Use this to quickly find specific leave reasons.
Are there any best practices for managing leave reasons?,"Yes, regularly review and update leave reasons, keep names clear and concise, ensure active reasons are relevant, and always keep historical data rather than deleting."
Can I assign different leave reasons to specific employee groups?,"You be able to assign leave reasons based on roles, departments, or other employee groupings. Check the software documentation for specifics."
Is there an option to add descriptions to each leave reason?,HRMantra systems allow adding descriptions or notes to provide further clarity on each leave reason. Refer to your software to see if this feature is available.
How do I handle obsolete leave reasons?,"Instead of deleting, it's advisable to deactivate obsolete leave reasons to maintain historical data."
How do employees view the leave reasons when applying?,Employees will see a dropdown or a list of active leave reasons when they apply for a leave in HRMantra.
What if an employee selects the wrong leave reason?,"Employees or HR can   edit or update the leave application before it's approved, changing it to the correct reason."
Can I get notifications when a leave reason is added or modified?,Some HRMantra provides notification settings for administrative changes. Explore HRMantra settings or user preferences to enable such notifications.
How do I handle duplicate leave reasons?,Review and consolidate duplicates. Deactivate or modify the redundant entry to avoid confusion.
How do I handle employee queries regarding leave reasons?,"It's advisable to have a clear internal communication channel, like an HR helpline or an FAQ section for employees, to address such queries."
How do I train my team on using the "Leave Reasons Master" page?,"Consider creating a user guide, hosting training sessions, or referring to the software's official documentation and training resources."
Can I categorize leave reasons?,"While the ""Leave Name"" acts as a broad category, HRMantra software allow further categorization or tagging of leave reasons."
What's the difference between "Leave Name" and "Reason Name"?,"Leave Name is a broader category (e.g., Sick Leave), while ""Reason Name"" is specific (e.g., Medical Appointment)."
Do changes to leave reasons impact existing leave records?,"Changes to leave reasons don't alter existing records, but they may affect future applications. However, always verify with your HRMantra."
Can I restore a previously deleted or deactivated leave reason?,"Deactivated reasons can be reactivated. Deleted reasons, on the other hand, may need to be recreated, unless HRMantra offers a restore feature."
How do I troubleshoot issues with the "Leave Reasons Master" page?,"Refer to the software documentation, contact your software provider's support, or consult your IT team."
